"jobtitle","company","location","longitude","latitude","salary","companysize","companyrating","summary"
"Research Intern (AI)","Facebook","Menlo Park, CA",-122.1821871,37.4538274,NA,185,52.2,"We are committed to advancing the field of artificial intelligence by making fundamental advances in technologies to help interact with and understand our world..."
"Artificial Intelligence (AI) Software Engineer","Sprint","Overland Park, KS 66210",-94.6865272,38.9241106,NA,nan,43.8,"Sprint is looking for an Artificial Intelligence (AI) Architect. Bring your Artificial Intelligence/ Machine Learning expertise to Sprint and be a pioneer in..."
"Research Scientist, Machine Learning and Intelligence","Google","Mountain View, CA",-122.0832101,37.3893889,NA,nan,52.8,"Experience in Natural Language Understanding, Computer Vision, Machine Learning, Algorithmic Foundations of Optimization, Data Mining or Machine Intelligence..."
"Data Scientist","Uptake","Chicago, IL",-87.6244212,41.8755546,NA,nan,nan,"Previous published academic research in artificial intelligence, machine learning, or operations research. What We Do...."
"Student Research Collaboration","Google","Pittsburgh, PA",-79.9900861,40.4416941,NA,nan,52.8,"Experience (classroom or work related) in Natural Language Understanding, Neural Networks, Computer Vision, Machine Learning, Deep Learning, Algorithmic..."
"Research Staff Member, Artificial Intelligence","IBM","United States",-100.4458825,39.7837304,NA,nan,51.0,"PhD in Machine Learning, Artificial Intelligence, Computer Science, Applied Mathematics or related technical fields...."
"Machine Learning / Artificial Intelligence Scientist","Ford Motor Company","Dearborn, MI",-83.1763145,42.3222599,NA,nan,52.8,"NA"
"Artificial Intelligence (AI)/ Machine Learning (ML) IT Resea...","UBS","Weehawken, NJ",-74.0204177,40.7695457,NA,nan,44.4,"Actively participate in the design and development of Artificial Intelligence solutions at UBS. We're looking for someone like this with experience in..."
"Machine Learning Engineer","Apple","Santa Clara Valley, CA",-121.9551744,37.3541132,NA,nan,52.2,"Create groundbreaking technology for large scale systems, spoken language, big data, and artificial intelligence...."
"Machine Learning Platform Engineer","Apple","Pittsburgh, PA 15237",-79.9900861,40.4416941,NA,nan,52.2,"NA"
"Autopilot Internship (Spring 2018)","Tesla Motors","Palo Alto, CA",-122.1634472,37.442156,NA,518,43.2,"NA"
"Data Science Intern","iRobot Corporation","Bedford, MA",-71.2817947,42.4917301,NA,15,51.6,"NA"
"Artificial Intelligence Engineer","Accenture","Cleveland, OH",-81.6934446,41.5051613,NA,nan,51.0,"NA"
"Backend Software Engineer, Machine Learning Platform","Apple","Pittsburgh, PA 15237",-79.9900861,40.4416941,NA,nan,52.2,"NA"
"Siri Data Engineer","Apple","Santa Clara Valley, CA",-121.9551744,37.3541132,NA,nan,52.2,"NA"
"Data Scientist","Conversica","Seattle, WA 98104 (First Hill area)",-122.32894979,47.6016203824,NA,4,43.8,"NA"
"Research Summer Intern","IBM","United States",-100.4458825,39.7837304,NA,nan,51.0,"NA"
"Machine Learning Engineer","Dropbox","San Francisco, CA",-122.4192363,37.7792808,NA,15,44.4,"NA"
